Year,Month,DayofMonth,Carrier,FlightNum,Origin,Dest,DepTime,ArrTime,DepDelay,ArrDelay
2023,1,15,AA,100,DFW,LAX,0800,0930,5,10
2023,1,15,DL,200,ATL,JFK,0900,1115,0,5
2023,1,16,UA,300,SFO,ORD,0700,1300,10,15
2023,1,16,WN,400,HOU,DEN,0600,0810,0,0
2023,1,17,AA,101,LAX,DFW,1200,1700,20,25
2023,1,17,DL,201,JFK,ATL,1400,1630,0,0
2023,1,18,UA,301,ORD,SFO,1500,1730,5,10
2023,1,18,WN,401,DEN,HOU,1800,2100,0,0
2023,1,19,AA,102,DFW,LAX,0800,0930,0,5
2023,1,19,DL,202,ATL,JFK,0900,1115,10,15
2023,1,20,UA,302,SFO,ORD,0700,1300,0,0
2023,1,20,WN,402,HOU,DEN,0600,0810,5,10
2023,1,21,AA,103,LAX,DFW,1200,1700,0,0
2023,1,21,DL,203,JFK,ATL,1400,1630,0,5
2023,1,22,UA,303,ORD,SFO,1500,1730,10,15
2023,1,22,WN,403,DEN,HOU,1800,2100,0,0
2023,1,23,AA,104,DFW,LAX,0800,0930,0,0
2023,1,23,DL,204,ATL,JFK,0900,1115,5,10
2023,1,24,UA,304,SFO,ORD,0700,1300,0,0
2023,1,24,WN,404,HOU,DEN,0600,0810,0,5
2023,1,25,AA,105,LAX,DFW,1200,1700,0,0
2023,1,25,DL,205,JFK,ATL,1400,1630,0,0
2023,1,26,UA,305,ORD,SFO,1500,1730,5,10
2023,1,26,WN,405,DEN,HOU,1800,2100,0,0
